address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"12129 Ranch Rd 620 N, Ste 450, Austin, TX 78750",4.0,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 2:00 am', 'Wed': '11:00 am - 2:00 am', 'Thu': '11:00 am - 2:00 am', 'Fri': '11:00 am - 2:00 am', 'Sat': '11:00 am - 2:00 am', 'Sun': '11:00 am - 2:00 am'}","Mediterranean,Greek,Desserts","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",690,(512) 520-8169,$$,"[('5 star rating', '7/21/2020'), ('5 star rating', '7/12/2020'), ('4 star rating', '7/8/2020'), ('5 star rating', '7/7/2020'), ('5 star rating', '6/17/2020'), ('2 star rating', '6/17/2020'), ('5 star rating', '6/12/2020'), ('5 star rating', '6/12/2020'), ('3 star rating', '6/8/2020'), ('4 star rating', '5/28/2020'), ('3 star rating', '5/24/2020'), ('4 star rating', '5/15/2020'), ('5 star rating', '5/10/2020'), ('1 star rating', '5/9/2020'), ('5 star rating', '5/5/2020'), ('5 star rating', '4/20/2020'), ('2 star rating', '4/19/2020'), ('5 star rating', '4/16/2020'), ('5 star rating', '4/15/2020')]",Almarah Mediterranean Cuisine,https://www.yelp.com/biz/almarah-mediterranean-cuisine-austin-4?osq=mediterranean&sort_by=date_desc
"701 E Stassney Ln, Unit B, Austin, TX 78745",4.5,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Mediterranean,Buffets","{'Delivery': False, 'Takeout': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",49,,$$,"[('5 star rating', '7/21/2020'), ('1 star rating', '7/11/2020'), ('3 star rating', '7/1/2020'), ('2 star rating', '6/30/2020'), ('5 star rating', '6/23/2020'), ('5 star rating', '6/20/2020'), ('5 star rating', '6/15/2020'), ('5 star rating', '6/12/2020'), ('1 star rating', '5/21/2020'), ('5 star rating', '3/17/2020'), ('5 star rating', '3/17/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/13/2020'), ('5 star rating', '3/11/2020'), ('5 star rating', '3/11/2020'), ('4 star rating', '3/10/2020'), ('5 star rating', '3/10/2020'), ('5 star rating', '3/9/2020'), ('5 star rating', '3/8/2020')]",Dimassi’s Mediterranean Buffet,https://www.yelp.com/biz/dimassi-s-mediterranean-buffet-austin?osq=mediterranean&sort_by=date_desc
"1900 University Blvd, Ste 250, Round Rock, TX 78665",4.0,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 9:00 pm'}",Mediterranean,"{'Outdoor seating': False, 'Delivery': True, 'Takeout': True}",By Tami J.,Elite '2020,mediterranean,"Austin, TX",46,(512) 514-1115,,"[('2 star rating', '7/2/2020'), ('4 star rating', '6/25/2020'), ('5 star rating', '6/19/2020'), ('5 star rating', '6/17/2020'), ('5 star rating', '5/23/2020'), ('1 star rating', '5/17/2020'), ('2 star rating', '5/8/2020'), ('5 star rating', '4/18/2020'), ('4 star rating', '4/18/2020'), ('3 star rating', '4/5/2020'), ('5 star rating', '3/13/2020'), ('1 star rating', '3/12/2020'), ('4 star rating', '3/10/2020'), ('5 star rating', '3/6/2020'), ('5 star rating', '3/3/2020'), ('2 star rating', '2/28/2020'), ('2 star rating', '2/28/2020'), ('5 star rating', '2/27/2020'), ('5 star rating', '2/16/2020')]",Kababji Grill,https://www.yelp.com/biz/kababji-grill-round-rock-2?osq=mediterranean&sort_by=date_desc
"3201 Bee Caves Rd, Ste 100, Austin, TX 78746",4.5,"{'Mon': '10:45 am - 10:00 pm', 'Tue': '10:45 am - 10:00 pm', 'Wed': '10:45 am - 10:00 pm', 'Thu': '10:45 am - 10:00 pm', 'Fri': '10:45 am - 10:00 pm', 'Sat': '10:45 am - 10:00 pm', 'Sun': '10:45 am - 10:00 pm'}","Mediterranean,Salad","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",107,(512) 792-4957,$$,"[('5 star rating', '7/22/2020'), ('5 star rating', '7/21/2020'), ('1 star rating', '7/7/2020'), ('5 star rating', '5/28/2020'), ('3 star rating', '5/4/2020'), ('4 star rating', '3/22/2020'), ('3 star rating', '3/17/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/10/2020'), ('5 star rating', '3/2/2020'), ('4 star rating', '2/22/2020'), ('5 star rating', '2/18/2020'), ('1 star rating', '2/16/2020'), ('2 star rating', '2/10/2020'), ('4 star rating', '12/6/2018'), ('4 star rating', '1/31/2020'), ('1 star rating', '1/27/2020'), ('5 star rating', '12/28/2019'), ('5 star rating', '12/12/2019'), ('5 star rating', '11/27/2019')]",CAVA,https://www.yelp.com/biz/cava-austin-5?osq=mediterranean&sort_by=date_desc
"13497 N Hwy 183, Austin, TX 78750",4.0,"{'Mon': '10:00 am - 8:00 pm', 'Tue': '10:00 am - 8:00 pm', 'Wed': '10:00 am - 8:00 pm', 'Thu': '10:00 am - 8:00 pm', 'Fri': '10:00 am - 8:00 pm', 'Sat': '10:00 am - 8:00 pm', 'Sun': '10:00 am - 6:00 pm'}","International Grocery,Mediterranean,Middle Eastern","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",117,(512) 305-3550,$,"[('5 star rating', '6/17/2020'), ('5 star rating', '5/20/2020'), ('2 star rating', '4/18/2020'), ('5 star rating', '4/12/2020'), ('5 star rating', '3/13/2020'), ('5 star rating', '3/5/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '1/3/2020'), ('5 star rating', '1/2/2020'), ('4 star rating', '11/30/2019'), ('5 star rating', '11/26/2019'), ('5 star rating', '7/14/2017'), ('5 star rating', '10/14/2019'), ('5 star rating', '9/11/2019'), ('3 star rating', '8/19/2019'), ('4 star rating', '8/3/2019'), ('3 star rating', '7/20/2019'), ('4 star rating', '7/8/2019'), ('5 star rating', '7/3/2019'), ('2 star rating', '6/18/2019')]",Davod's Mediterranean Market & Restaurant,https://www.yelp.com/biz/davods-mediterranean-market-and-restaurant-austin?osq=mediterranean&sort_by=date_desc
"3421 W William Cannon Dr, Austin, TX 78745",4.0,"{'Mon': '11:00 am - 10:00 pm', 'Tue': '11:00 am - 10:00 pm', 'Wed': '11:00 am - 10:00 pm', 'Thu': '11:00 am - 10:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 10:00 pm'}",Mediterranean,"{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",484,(512) 853-9584,$$,"[('5 star rating', '6/11/2020'), ('5 star rating', '6/8/2020'), ('5 star rating', '5/14/2020'), ('1 star rating', '5/10/2020'), ('5 star rating', '4/30/2020'), ('5 star rating', '1/5/2020'), ('5 star rating', '9/19/2015'), ('5 star rating', '4/17/2020'), ('5 star rating', '4/11/2020'), ('5 star rating', '3/27/2020'), ('2 star rating', '12/2/2019'), ('3 star rating', '2/23/2020'), ('5 star rating', '7/6/2013'), ('5 star rating', '1/27/2020'), ('1 star rating', '1/19/2020'), ('1 star rating', '12/31/2019'), ('4 star rating', '12/19/2019'), ('5 star rating', '11/30/2019'), ('1 star rating', '11/22/2019'), ('1 star rating', '11/19/2019'), ('4 star rating', '11/18/2019'), ('2 star rating', '11/4/2019'), ('4 star rating', '11/2/2019')]",Cafe Malta,https://www.yelp.com/biz/cafe-malta-austin?osq=mediterranean&sort_by=date_desc
"1311 E 7th St, Austin, TX 78702",4.0,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '12:00 pm - 10:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","Turkish,Halal","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",253,(512) 394-6562,$$,"[('5 star rating', '7/23/2020'), ('2 star rating', '7/19/2020'), ('4 star rating', '7/13/2020'), ('5 star rating', '6/3/2020'), ('5 star rating', '5/17/2020'), ('5 star rating', '4/30/2020'), ('1 star rating', '4/7/2020'), ('3 star rating', '3/10/2020'), ('5 star rating', '3/1/2020'), ('4 star rating', '2/16/2020'), ('5 star rating', '2/15/2020'), ('3 star rating', '1/8/2020'), ('3 star rating', '12/23/2019'), ('5 star rating', '12/6/2019'), ('5 star rating', '11/24/2019'), ('3 star rating', '11/21/2019'), ('2 star rating', '11/9/2019'), ('4 star rating', '11/6/2019'), ('5 star rating', '11/6/2019')]",Kebabalicious,https://www.yelp.com/biz/kebabalicious-austin-3?osq=mediterranean&sort_by=date_desc
"11101 Burnet Rd, Austin, TX 78758",4.5,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","Mediterranean,Halal,Lebanese",{'Takeout': True},Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",119,(512) 350-2632,$,"[('5 star rating', '5/5/2020'), ('5 star rating', '3/27/2020'), ('3 star rating', '3/13/2020'), ('5 star rating', '3/13/2020'), ('5 star rating', '7/19/2019'), ('5 star rating', '1/19/2020'), ('1 star rating', '1/14/2020'), ('5 star rating', '11/27/2019'), ('5 star rating', '11/27/2019'), ('5 star rating', '11/24/2019'), ('4 star rating', '11/6/2019'), ('5 star rating', '10/29/2019'), ('2 star rating', '10/27/2019'), ('4 star rating', '10/21/2019'), ('4 star rating', '10/19/2019'), ('5 star rating', '10/18/2019'), ('5 star rating', '10/18/2019'), ('5 star rating', '10/17/2019'), ('1 star rating', '9/23/2019'), ('1 star rating', '8/15/2019'), ('4 star rating', '9/21/2019'), ('5 star rating', '8/10/2019')]",Kabobzi Mediterranean Grill,https://www.yelp.com/biz/kabobzi-mediterranean-grill-austin-2?osq=mediterranean&sort_by=date_desc
"539 W Oltorf S, Austin, TX 78704",4.5,"{'Mon': '11:30 am - 12:30 am', 'Tue': '11:30 am - 12:30 am', 'Wed': '11:30 am - 12:30 am', 'Thu': '11:30 am - 12:30 am', 'Fri': '11:30 am - 12:30 am', 'Sat': '11:30 am - 12:30 am', 'Sun': '11:30 am - 12:30 am'}","Halal,Mediterranean,Food Trucks","{'Delivery': True, 'Takeout': True}","Posted on April 26, 2020","""We are open every day 11:30 am to 12:30 am.""",mediterranean,"Austin, TX",268,(512) 810-4751,$,"[('5 star rating', '7/3/2020'), ('4 star rating', '7/1/2020'), ('5 star rating', '7/1/2020'), ('1 star rating', '6/22/2020'), ('2 star rating', '6/21/2020'), ('2 star rating', '6/18/2020'), ('1 star rating', '6/18/2020'), ('4 star rating', '6/16/2020'), ('3 star rating', '6/11/2020'), ('4 star rating', '6/2/2020'), ('2 star rating', '5/28/2020'), ('5 star rating', '5/23/2020'), ('1 star rating', '5/17/2020'), ('4 star rating', '5/8/2020'), ('2 star rating', '5/3/2020'), ('4 star rating', '5/2/2020'), ('2 star rating', '4/18/2020'), ('5 star rating', '2/11/2020'), ('5 star rating', '1/30/2020')]",The Halal Gurus,https://www.yelp.com/biz/the-halal-gurus-austin?osq=mediterranean&sort_by=date_desc
"111 Congress Ave, Austin, TX 78701",4.5,"{'Mon': '9:00 am - 9:00 pm', 'Tue': '9:00 am - 9:00 pm', 'Wed': '9:00 am - 9:00 pm', 'Thu': '9:00 am - 9:00 pm', 'Fri': '9:00 am - 9:00 pm', 'Sat': '9:00 am - 9:00 pm', 'Sun': '9:00 am - 9:00 pm'}",Middle Eastern,"{'Delivery': False, 'Takeout': True, 'Curbside pickup': False}",By Katie B.,Elite '2020,mediterranean,"Austin, TX",89,(512) 608-4041,,"[('5 star rating', '6/20/2020'), ('5 star rating', '6/10/2020'), ('5 star rating', '6/4/2020'), ('5 star rating', '5/10/2020'), ('5 star rating', '3/12/2020'), ('5 star rating', '3/7/2020'), ('4 star rating', '3/5/2020'), ('5 star rating', '2/28/2020'), ('5 star rating', '2/26/2020'), ('5 star rating', '2/24/2020'), ('5 star rating', '2/20/2020'), ('5 star rating', '2/9/2020'), ('5 star rating', '1/28/2020'), ('5 star rating', '1/16/2020'), ('5 star rating', '12/29/2019'), ('5 star rating', '12/25/2019'), ('5 star rating', '12/23/2019'), ('5 star rating', '12/23/2019'), ('5 star rating', '12/23/2019')]",TLV Israeli Street food,https://www.yelp.com/biz/tlv-israeli-street-food-austin?osq=mediterranean&sort_by=date_desc
"1000 E 41st St, Ste 200, Austin, TX 78751",4.5,"{'Mon': '11:00 am - 1:00 am', 'Tue': '11:00 am - 1:00 am', 'Wed': '11:00 am - 1:00 am', 'Thu': '11:00 am - 3:00 am', 'Fri': '11:00 am - 3:00 am', 'Sat': '11:00 am - 3:00 am', 'Sun': '11:00 am - 1:00 am'}","Halal,Mediterranean,Greek","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",262,(512) 236-1811,$,"[('5 star rating', '7/22/2020'), ('5 star rating', '7/19/2020'), ('1 star rating', '7/6/2020'), ('5 star rating', '7/5/2020'), ('5 star rating', '7/2/2020'), ('5 star rating', '6/29/2020'), ('3 star rating', '6/23/2020'), ('5 star rating', '6/19/2020'), ('4 star rating', '6/13/2020'), ('4 star rating', '6/10/2020'), ('5 star rating', '6/8/2020'), ('5 star rating', '6/6/2020'), ('5 star rating', '6/5/2020'), ('4 star rating', '6/1/2020'), ('1 star rating', '5/23/2020'), ('4 star rating', '5/21/2020'), ('2 star rating', '4/9/2020'), ('4 star rating', '3/29/2020'), ('5 star rating', '3/22/2020')]",Kismet Cafe,https://www.yelp.com/biz/kismet-cafe-austin-2?osq=mediterranean&sort_by=date_desc
"7020 Easy Wind Dr, Ste 150, Austin, TX 78752",5.0,"{'Mon': '10:00 am - 9:00 pm', 'Tue': '10:00 am - 9:00 pm', 'Wed': '10:00 am - 9:00 pm', 'Thu': '10:00 am - 9:00 pm', 'Fri': '10:00 am - 9:00 pm', 'Sat': '10:00 am - 9:00 pm', 'Sun': 'Closed'}","Mediterranean,Food Trucks","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",5,(512) 243-5289,,"[('5 star rating', '7/17/2020'), ('5 star rating', '6/30/2020'), ('5 star rating', '5/19/2020'), ('5 star rating', '4/17/2020')]",Shishman Mediterranean Grill,https://www.yelp.com/biz/shishman-mediterranean-grill-austin-4?osq=mediterranean&sort_by=date_desc
"4025 RR 620 S, Bee Cave, TX 78738",4.5,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Greek,Mediterranean","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",106,(512) 520-5224,$$,"[('5 star rating', '7/14/2020'), ('5 star rating', '7/13/2020'), ('5 star rating', '7/12/2020'), ('4 star rating', '6/29/2020'), ('5 star rating', '6/28/2020'), ('5 star rating', '6/18/2020'), ('5 star rating', '6/13/2020'), ('2 star rating', '6/10/2020'), ('3 star rating', '6/10/2020'), ('5 star rating', '6/7/2020'), ('2 star rating', '6/6/2020'), ('5 star rating', '6/1/2020'), ('5 star rating', '5/5/2020'), ('4 star rating', '5/2/2020'), ('5 star rating', '5/1/2020'), ('2 star rating', '4/29/2020'), ('4 star rating', '4/15/2020'), ('5 star rating', '4/14/2020'), ('5 star rating', '4/5/2020')]",Artemis Mediterranean Grill - Bee Cave,https://www.yelp.com/biz/artemis-mediterranean-grill-bee-cave-bee-cave-3?osq=mediterranean&sort_by=date_desc
"10815 Ranch Road 2222, Bldg 6, Ste 213, Austin, TX 78730",3.0,{},"Mediterranean,Greek,Sandwiches",{},Powered by HDScores,Elite '2020,mediterranean,"Austin, TX",29,(737) 203-3920,$$,"[('4 star rating', '2/8/2020'), ('1 star rating', '12/10/2019'), ('3 star rating', '12/10/2019'), ('2 star rating', '11/20/2019'), ('2 star rating', '10/29/2019'), ('3 star rating', '10/25/2019'), ('2 star rating', '10/13/2019'), ('2 star rating', '7/21/2019'), ('1 star rating', '6/22/2019'), ('1 star rating', '6/5/2019'), ('4 star rating', '3/18/2019'), ('4 star rating', '2/5/2019'), ('3 star rating', '1/15/2019'), ('5 star rating', '11/9/2018'), ('4 star rating', '9/21/2018'), ('5 star rating', '7/17/2018'), ('5 star rating', '7/13/2018'), ('1 star rating', '7/6/2018'), ('4 star rating', '6/27/2018')]",Zoes Kitchen,https://www.yelp.com/biz/zoes-kitchen-austin-16?osq=mediterranean&sort_by=date_desc
