address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"1380 9th Ave, San Francisco, CA 94122",5.0,"{'Mon': '8:00 am - 9:00 pm', 'Tue': '8:00 am - 9:00 pm', 'Wed': 'Closed', 'Thu': '8:00 am - 9:00 pm', 'Fri': '8:00 am - 9:00 pm', 'Sat': '8:00 am - 9:00 pm', 'Sun': '8:00 am - 9:00 pm'}","Breakfast & Brunch,Asian Fusion,Pasta Shops","{'Outdoor seating': False, 'Delivery': True, 'Takeout': True}",By Yelp I.,,american,"San Francisco, CA",4,(415) 803-1888,,"[('5 star rating', '7/24/2020'), ('5 star rating', '7/10/2020'), ('4 star rating', '6/11/2020')]",Jamie's place,https://www.yelp.com/biz/jamies-place-san-francisco?osq=american&sort_by=date_desc
"1525 Cortland Ave, San Francisco, CA 94110",4.5,"{'Mon': '12:00 pm - 8:00 pm', 'Tue': '12:00 pm - 8:00 pm', 'Wed': '12:00 pm - 8:00 pm', 'Thu': '12:00 pm - 8:00 pm', 'Fri': '12:00 pm - 8:00 pm', 'Sat': '12:00 pm - 8:00 pm', 'Sun': '12:00 pm - 8:00 pm'}","Breweries,Venues & Event Spaces","{'Delivery': True, 'Takeout': True, 'Virtual tasting sessions': True}","Posted on April 5, 2020","""We are open during the Shelter in Place order serving beers to go daily from Noon - 8PM seven days a week. We have food trucks scheduled most days so it's easy to get a good bite. Thank you for your support!""",american,"San Francisco, CA",441,(415) 926-8617,$$,"[('5 star rating', '7/22/2020'), ('5 star rating', '5/17/2020'), ('5 star rating', '3/26/2020'), ('5 star rating', '6/10/2020'), ('5 star rating', '5/30/2020'), ('5 star rating', '5/16/2020'), ('5 star rating', '5/7/2020'), ('5 star rating', '4/22/2020'), ('5 star rating', '4/19/2020'), ('5 star rating', '4/10/2020'), ('5 star rating', '4/5/2020'), ('5 star rating', '4/5/2020'), ('4 star rating', '4/2/2020'), ('1 star rating', '3/27/2020'), ('5 star rating', '3/21/2020'), ('3 star rating', '3/15/2020'), ('5 star rating', '3/12/2020'), ('3 star rating', '3/10/2020'), ('4 star rating', '3/9/2020'), ('5 star rating', '3/7/2020'), ('1 star rating', '2/29/2020')]",Barebottle Brewing Company,https://www.yelp.com/biz/barebottle-brewing-company-san-francisco?osq=american&sort_by=date_desc
"100 Rockaway Beach Ave, Pacifica, CA 94044",3.5,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': '12:00 pm - 6:00 pm', 'Thu': '12:00 pm - 6:00 pm', 'Fri': '12:00 pm - 6:00 pm', 'Sat': '12:00 pm - 6:00 pm', 'Sun': '12:00 pm - 6:00 pm'}","Seafood,Lounges","{'Delivery': False, 'Takeout': True}",By Ed U.,Elite '2020,american,"San Francisco, CA",1204,(650) 359-3900,$$,"[('1 star rating', '7/19/2020'), ('5 star rating', '7/5/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/28/2020'), ('3 star rating', '6/21/2020'), ('5 star rating', '6/21/2020'), ('5 star rating', '5/30/2020'), ('5 star rating', '5/30/2020'), ('5 star rating', '3/24/2020'), ('4 star rating', '5/24/2020'), ('1 star rating', '4/6/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/23/2020'), ('5 star rating', '7/1/2019'), ('3 star rating', '2/18/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/15/2020'), ('4 star rating', '2/11/2020'), ('5 star rating', '2/9/2020'), ('5 star rating', '2/9/2020'), ('3 star rating', '2/8/2020')]",Nick's Seashore Restaurant,https://www.yelp.com/biz/nicks-restaurant-pacifica?osq=american&sort_by=date_desc
"851 Beach St, San Francisco, CA 94109",3.5,"{'Mon': '12:00 pm - 9:00 pm', 'Tue': '12:00 pm - 9:00 pm', 'Wed': '12:00 pm - 9:00 pm', 'Thu': '12:00 pm - 9:00 pm', 'Fri': '12:00 pm - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Barbeque,Pubs,American (Traditional)",{'Delivery': True},By Ed U.,Elite '2020,american,"San Francisco, CA",917,(415) 351-0500,$$,"[('5 star rating', '3/1/2020'), ('5 star rating', '2/26/2020'), ('3 star rating', '2/21/2020'), ('5 star rating', '2/19/2020'), ('3 star rating', '2/17/2020'), ('1 star rating', '2/17/2020'), ('2 star rating', '2/17/2020'), ('1 star rating', '2/1/2020'), ('3 star rating', '1/10/2020'), ('5 star rating', '1/4/2020'), ('5 star rating', '12/30/2019'), ('1 star rating', '12/14/2019'), ('4 star rating', '12/4/2019'), ('3 star rating', '11/27/2019'), ('1 star rating', '11/3/2019'), ('5 star rating', '10/26/2019'), ('1 star rating', '10/20/2019'), ('2 star rating', '10/19/2019'), ('1 star rating', '10/18/2019')]",The Pub At Ghirardelli Square,https://www.yelp.com/biz/the-pub-at-ghirardelli-square-san-francisco-2?osq=american&sort_by=date_desc
"1701 Octavia St, San Francisco, CA 94109",4.0,"{'Mon': '5:00 pm - 10:00 pm', 'Tue': '5:00 pm - 10:00 pm', 'Wed': '5:00 pm - 10:00 pm', 'Thu': '5:00 pm - 10:00 pm', 'Fri': '5:00 pm - 10:30 pm', 'Sat': '5:00 pm - 10:30 pm', 'Sun': '5:00 pm - 10:00 pm'}",American (New),{},Powered by HDScores,Contact the business for more information about recent service changes.,american,"San Francisco, CA",577,(415) 408-7507,$$$,"[('3 star rating', '5/31/2020'), ('3 star rating', '3/14/2020'), ('5 star rating', '3/10/2020'), ('2 star rating', '2/19/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/17/2020'), ('4 star rating', '2/17/2020'), ('3 star rating', '2/15/2020'), ('5 star rating', '2/8/2020'), ('5 star rating', '2/7/2020'), ('3 star rating', '2/3/2020'), ('5 star rating', '1/24/2020'), ('4 star rating', '1/20/2020'), ('4 star rating', '1/18/2020'), ('2 star rating', '1/18/2020'), ('5 star rating', '1/10/2020'), ('4 star rating', '12/31/2019'), ('3 star rating', '12/25/2019'), ('1 star rating', '12/24/2019')]",Octavia,https://www.yelp.com/biz/octavia-san-francisco?osq=american&sort_by=date_desc
"399 Geary St, San Francisco, CA 94102",3.5,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '5:00 pm - 10:00 pm', 'Sat': '5:00 pm - 10:00 pm', 'Sun': '4:00 pm - 9:00 pm'}",Steakhouses,"{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Curbside pickup': True, 'Gift cards': True}","Posted on May 20, 2020","""To Go & Delivery Available. Visit our website or call to place an order & confirm hours of operation. Landry's is closely monitoring COVID-19 developments. For more info, please visit: https://www.landrysinc.com/notice/covid.asp""",american,"San Francisco, CA",121,(415) 363-9539,,"[('1 star rating', '7/21/2020'), ('4 star rating', '7/19/2020'), ('2 star rating', '7/16/2020'), ('5 star rating', '7/15/2020'), ('4 star rating', '7/6/2020'), ('4 star rating', '6/29/2020'), ('2 star rating', '6/29/2020'), ('2 star rating', '6/27/2020'), ('1 star rating', '6/26/2020'), ('5 star rating', '6/26/2020'), ('2 star rating', '6/26/2020'), ('3 star rating', '6/5/2020'), ('3 star rating', '6/3/2020'), ('4 star rating', '5/14/2020'), ('5 star rating', '4/20/2020'), ('5 star rating', '2/9/2020'), ('4 star rating', '4/15/2020'), ('5 star rating', '4/14/2020'), ('5 star rating', '4/12/2020'), ('5 star rating', '3/27/2020')]",Mastro's Steakhouse,https://www.yelp.com/biz/mastros-steakhouse-san-francisco-2?osq=american&sort_by=date_desc
"1166 Geneva Ave, San Francisco, CA 94112",4.0,"{'Mon': '4:00 pm - 12:00 am', 'Tue': '4:00 pm - 12:00 am', 'Wed': '4:00 pm - 12:00 am', 'Thu': '4:00 pm - 12:00 am', 'Fri': '4:00 pm - 2:00 am', 'Sat': '4:00 pm - 2:00 am', 'Sun': '11:00 am - 12:00 am'}","Dive Bars,American (Traditional),Barbeque","{'Delivery': True, 'Takeout': False}",Powered by HDScores,Elite '2020,american,"San Francisco, CA",1242,(415) 963-1713,$,"[('4 star rating', '7/24/2020'), ('1 star rating', '6/30/2020'), ('5 star rating', '3/10/2020'), ('5 star rating', '2/15/2020'), ('5 star rating', '1/22/2020'), ('5 star rating', '1/9/2020'), ('4 star rating', '12/30/2019'), ('2 star rating', '12/16/2019'), ('4 star rating', '12/15/2019'), ('5 star rating', '12/1/2019'), ('1 star rating', '11/6/2019'), ('1 star rating', '5/7/2019'), ('4 star rating', '10/17/2019'), ('4 star rating', '8/16/2019'), ('4 star rating', '3/28/2014'), ('1 star rating', '8/9/2019'), ('1 star rating', '6/4/2019'), ('5 star rating', '5/17/2019'), ('5 star rating', '1/9/2019'), ('5 star rating', '4/20/2019'), ('5 star rating', '4/10/2019'), ('4 star rating', '3/31/2019')]",Broken Record,https://www.yelp.com/biz/broken-record-san-francisco?osq=american&sort_by=date_desc
"590 Van Ness Ave, San Francisco, CA 94102",3.5,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': '9:00 am - 2:00 pm', 'Thu': '9:00 am - 2:00 pm', 'Fri': '9:00 am - 2:00 pm', 'Sat': '8:00 am - 2:00 pm', 'Sun': '8:00 am - 2:00 pm'}","Breakfast & Brunch,Coffee & Tea,Sandwiches","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"San Francisco, CA",1062,(415) 441-5669,$$,"[('5 star rating', '5/31/2020'), ('5 star rating', '5/24/2020'), ('4 star rating', '3/14/2020'), ('4 star rating', '2/23/2020'), ('1 star rating', '2/21/2020'), ('3 star rating', '2/5/2020'), ('1 star rating', '1/24/2020'), ('5 star rating', '1/21/2020'), ('4 star rating', '1/12/2020'), ('2 star rating', '12/15/2019'), ('2 star rating', '12/15/2019'), ('1 star rating', '12/5/2019'), ('3 star rating', '12/5/2019'), ('5 star rating', '11/24/2019'), ('1 star rating', '11/18/2019'), ('5 star rating', '10/27/2019'), ('1 star rating', '10/26/2019'), ('2 star rating', '10/17/2019'), ('2 star rating', '10/12/2019')]",Ella's American Kitchen,https://www.yelp.com/biz/ellas-american-kitchen-san-francisco?osq=american&sort_by=date_desc
"1451 Haight St, San Francisco, CA 94117",4.0,"{'Mon': '7:00 am - 3:30 pm', 'Tue': '7:00 am - 3:30 pm', 'Wed': '7:00 am - 3:30 pm', 'Thu': '7:00 am - 3:30 pm', 'Fri': '7:00 am - 3:30 pm', 'Sat': '8:00 am - 4:00 pm', 'Sun': '8:00 am - 4:00 pm'}","Breakfast & Brunch,Coffee & Tea,Comfort Food","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"San Francisco, CA",1355,(415) 864-6981,$$,"[('3 star rating', '6/20/2020'), ('5 star rating', '5/24/2020'), ('4 star rating', '3/18/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/7/2020'), ('1 star rating', '3/3/2020'), ('5 star rating', '3/1/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/20/2020'), ('3 star rating', '2/7/2020'), ('4 star rating', '1/28/2020'), ('5 star rating', '1/26/2020'), ('1 star rating', '1/25/2020'), ('5 star rating', '1/4/2020'), ('5 star rating', '12/15/2019'), ('4 star rating', '11/18/2019'), ('5 star rating', '11/8/2019'), ('5 star rating', '10/19/2019'), ('4 star rating', '9/14/2019')]",Pork Store Cafe,https://www.yelp.com/biz/pork-store-cafe-san-francisco?osq=american&sort_by=date_desc
"1735 Noriega St, San Francisco, CA 94122",3.5,"{'Mon': '3:00 pm - 9:00 pm', 'Tue': '3:00 pm - 9:00 pm', 'Wed': '3:00 pm - 9:00 pm', 'Thu': '3:00 pm - 9:00 pm', 'Fri': '3:00 pm - 9:00 pm', 'Sat': '10:00 am - 9:00 pm', 'Sun': '10:00 am - 9:00 pm'}","American (Traditional),Breweries","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"San Francisco, CA",630,(415) 571-8452,$$,"[('5 star rating', '7/16/2020'), ('5 star rating', '7/9/2020'), ('2 star rating', '6/28/2020'), ('4 star rating', '6/27/2020'), ('4 star rating', '6/24/2020'), ('3 star rating', '6/18/2020'), ('5 star rating', '5/25/2020'), ('5 star rating', '5/19/2020'), ('3 star rating', '4/1/2020'), ('2 star rating', '3/30/2020'), ('4 star rating', '3/21/2020'), ('3 star rating', '3/17/2020'), ('5 star rating', '3/14/2020'), ('1 star rating', '3/3/2020'), ('4 star rating', '1/16/2020'), ('4 star rating', '1/7/2020'), ('5 star rating', '12/29/2019'), ('3 star rating', '12/28/2019'), ('3 star rating', '6/17/2018'), ('4 star rating', '12/12/2019')]",Sunset Reservoir Brewing Company,https://www.yelp.com/biz/sunset-reservoir-brewing-company-san-francisco?osq=american&sort_by=date_desc
