address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"2401 Polk St, San Francisco, CA 94109",4.5,"{'Mon': '8:00 am - 7:00 pm', 'Tue': '8:00 am - 7:00 pm', 'Wed': '8:00 am - 2:00 pm', 'Thu': '8:00 am - 2:00 pm', 'Fri': '8:00 am - 7:00 pm', 'Sat': '8:00 am - 7:00 pm', 'Sun': '8:00 am - 7:00 pm'}","Breakfast & Brunch,Diners,Burgers","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Contactless payments': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True, 'Temperature checks': True}","Posted on June 11, 2020","""Great news! Starting Friday June 12th, our outdoor seating will be open for dine-in.""",american,"San Francisco, CA",675,(415) 913-7775,$$,"[('4 star rating', '7/18/2020'), ('4 star rating', '4/28/2020'), ('5 star rating', '7/14/2020'), ('5 star rating', '6/22/2020'), ('5 star rating', '7/11/2020'), ('5 star rating', '7/10/2020'), ('5 star rating', '7/7/2020'), ('3 star rating', '7/6/2020'), ('5 star rating', '6/21/2020'), ('5 star rating', '6/20/2020'), ('5 star rating', '5/12/2020'), ('5 star rating', '5/11/2020'), ('5 star rating', '5/10/2020'), ('5 star rating', '5/3/2020'), ('5 star rating', '4/18/2020'), ('5 star rating', '4/8/2020'), ('5 star rating', '4/5/2020'), ('5 star rating', '4/1/2020'), ('4 star rating', '3/21/2020'), ('3 star rating', '3/17/2020'), ('5 star rating', '3/15/2020'), ('5 star rating', '3/14/2020')]",The New Spot On Polk,https://www.yelp.com/biz/the-new-spot-on-polk-san-francisco-2?osq=american&sort_by=date_desc
"1703 2nd Ave, New York, NY 10128",3.5,"{'Mon': '11:45 am - 10:00 pm', 'Tue': '11:45 am - 10:30 pm', 'Wed': '11:45 am - 10:30 pm', 'Thu': '11:45 am - 10:30 pm', 'Fri': '11:45 am - 10:30 pm', 'Sat': '11:00 am - 11:00 pm', 'Sun': '11:00 am - 10:00 pm'}","Bars,Steakhouses,American (Traditional)","{'Delivery': True, 'Takeout': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,american,"New York, NY",483,(212) 335-0075,$$$,"[('4 star rating', '5/9/2020'), ('3 star rating', '1/31/2020'), ('2 star rating', '1/30/2020'), ('5 star rating', '1/1/2020'), ('2 star rating', '12/31/2019'), ('4 star rating', '12/23/2019'), ('4 star rating', '12/15/2019'), ('5 star rating', '12/12/2019'), ('4 star rating', '11/24/2019'), ('1 star rating', '11/19/2019'), ('5 star rating', '11/15/2019'), ('5 star rating', '11/13/2019'), ('1 star rating', '10/25/2019'), ('4 star rating', '10/15/2019'), ('4 star rating', '10/14/2019'), ('2 star rating', '10/13/2019'), ('5 star rating', '10/6/2019'), ('5 star rating', '10/6/2019'), ('5 star rating', '10/5/2019')]",The Writing Room,https://www.yelp.com/biz/the-writing-room-new-york?osq=american&sort_by=date_desc
"35 Downing St, New York, NY 10014",4.0,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '4:00 pm - 9:00 pm', 'Sat': '12:00 pm - 9:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","Pizza,Burgers","{'Delivery': True, 'Takeout': True, 'Sit-down dining': False, 'Curbside pickup': True}","Posted on June 5, 2020","""Updated June 5, 2020.
Emily West Village is thrilled to announce that we are now open for carry out & delivery!  Thank you for your continued support and we look forward to having you as our guest again in our dining room one day soon.
Sincerely,
The Emily West Village Te…""",american,"New York, NY",638,(917) 935-6434,$$,"[('4 star rating', '7/23/2020'), ('5 star rating', '7/19/2020'), ('3 star rating', '7/11/2020'), ('5 star rating', '7/10/2020'), ('5 star rating', '6/30/2020'), ('5 star rating', '7/8/2020'), ('5 star rating', '8/15/2017'), ('4 star rating', '7/7/2020'), ('5 star rating', '6/18/2020'), ('5 star rating', '6/11/2020'), ('1 star rating', '6/7/2020'), ('5 star rating', '5/22/2020'), ('5 star rating', '4/22/2020'), ('5 star rating', '4/10/2020'), ('4 star rating', '3/29/2020'), ('5 star rating', '3/15/2020'), ('5 star rating', '3/14/2020'), ('4 star rating', '3/11/2020'), ('5 star rating', '3/6/2020'), ('3 star rating', '3/5/2020'), ('5 star rating', '3/2/2020')]",Emily - West Village,https://www.yelp.com/biz/emily-west-village-new-york?osq=american&sort_by=date_desc
"2850 Broadway, New York, NY 10025",3.5,"{'Mon': '11:30 am - 12:00 am', 'Tue': '11:30 am - 12:00 am', 'Wed': '11:30 am - 12:00 am', 'Thu': '11:30 am - 1:00 am', 'Fri': '11:30 am - 1:00 am', 'Sat': '11:00 am - 1:00 am', 'Sun': '11:00 am - 11:00 pm'}",Burgers,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"New York, NY",742,(212) 865-7100,$$,"[('3 star rating', '7/24/2020'), ('5 star rating', '7/23/2020'), ('3 star rating', '7/21/2020'), ('1 star rating', '7/4/2020'), ('5 star rating', '5/6/2020'), ('5 star rating', '3/30/2020'), ('1 star rating', '3/25/2020'), ('1 star rating', '3/7/2020'), ('1 star rating', '2/25/2020'), ('2 star rating', '3/6/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/28/2020'), ('3 star rating', '2/11/2020'), ('1 star rating', '1/14/2020'), ('4 star rating', '1/14/2020'), ('5 star rating', '1/12/2020'), ('4 star rating', '1/3/2020'), ('2 star rating', '12/17/2019'), ('4 star rating', '12/8/2019'), ('2 star rating', '11/30/2019')]",Mel's Burger Bar,https://www.yelp.com/biz/mels-burger-bar-new-york?osq=american&sort_by=date_desc
"35 E 18th St, New York, NY 10003",4.0,"{'Mon': '12:00 pm - 3:00 pm', 'Tue': '12:00 pm - 3:00 pm', 'Wed': '12:00 pm - 3:00 pm', 'Thu': '12:00 pm - 3:00 pm', 'Fri': '12:00 pm - 3:00 pm', 'Sat': '11:00 am - 3:00 pm', 'Sun': '11:00 am - 3:00 pm'}","American (New),French","{'Delivery': True, 'Takeout': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,american,"New York, NY",2969,(212) 475-5829,$$$,"[('5 star rating', '7/11/2020'), ('5 star rating', '6/15/2020'), ('4 star rating', '4/2/2020'), ('5 star rating', '3/13/2020'), ('5 star rating', '3/10/2020'), ('5 star rating', '3/10/2020'), ('5 star rating', '3/7/2020'), ('4 star rating', '3/3/2020'), ('5 star rating', '2/26/2020'), ('5 star rating', '2/25/2020'), ('5 star rating', '2/24/2020'), ('5 star rating', '2/23/2020'), ('4 star rating', '2/20/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/14/2020'), ('4 star rating', '2/14/2020'), ('4 star rating', '2/10/2020'), ('4 star rating', '2/9/2020'), ('5 star rating', '2/4/2020')]",ABC Kitchen,https://www.yelp.com/biz/abc-kitchen-new-york?osq=american&sort_by=date_desc
"224 Lafayette St, New York, NY 10012",4.0,"{'Mon': '8:30 am - 11:00 pm', 'Tue': '8:30 am - 11:00 pm', 'Wed': '8:30 am - 11:00 pm', 'Thu': '8:30 am - 11:00 pm', 'Fri': '8:30 am - 12:00 am', 'Sat': '8:30 am - 12:00 am', 'Sun': '8:30 am - 10:00 pm'}","Breakfast & Brunch,Mediterranean,American (New)",{'Delivery': True},Powered by HDScores,Elite '2020,american,"New York, NY",1900,(212) 510-8550,$$,"[('4 star rating', '7/19/2020'), ('4 star rating', '7/18/2020'), ('5 star rating', '7/14/2020'), ('2 star rating', '7/12/2020'), ('5 star rating', '7/5/2020'), ('5 star rating', '6/24/2020'), ('5 star rating', '6/7/2020'), ('3 star rating', '6/6/2020'), ('5 star rating', '6/3/2020'), ('2 star rating', '5/31/2020'), ('5 star rating', '5/23/2020'), ('3 star rating', '5/16/2020'), ('4 star rating', '5/9/2020'), ('5 star rating', '4/1/2020'), ('4 star rating', '3/21/2020'), ('3 star rating', '3/17/2020'), ('2 star rating', '3/15/2020'), ('4 star rating', '3/10/2020'), ('5 star rating', '3/8/2020')]",Jack's Wife Freda,https://www.yelp.com/biz/jacks-wife-freda-new-york?osq=american&sort_by=date_desc
"324 5th Ave, Brooklyn, NY 11215",4.0,"{'Mon': '5:30 pm - 10:00 pm', 'Tue': '11:30 am - 2:30 pm', 'Wed': '11:30 am - 2:30 pm', 'Thu': '11:30 am - 2:30 pm', 'Fri': '11:30 am - 2:30 pm', 'Sat': '10:00 am - 3:30 pm', 'Sun': '10:00 am - 3:30 pm'}","American (New),Breakfast & Brunch,Venues & Event Spaces","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"New York, NY",917,(718) 369-0082,$$,"[('5 star rating', '6/30/2020'), ('2 star rating', '6/27/2020'), ('4 star rating', '3/20/2017'), ('5 star rating', '6/14/2020'), ('5 star rating', '5/21/2020'), ('5 star rating', '4/22/2020'), ('3 star rating', '3/8/2020'), ('5 star rating', '2/23/2020'), ('5 star rating', '2/21/2020'), ('5 star rating', '2/21/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/16/2020'), ('5 star rating', '1/27/2020'), ('5 star rating', '1/26/2020'), ('5 star rating', '1/1/2020'), ('5 star rating', '12/29/2019'), ('5 star rating', '12/20/2019'), ('2 star rating', '2/13/2007'), ('3 star rating', '12/7/2019'), ('4 star rating', '11/15/2019'), ('3 star rating', '11/13/2019')]",Stone Park Cafe,https://www.yelp.com/biz/stone-park-cafe-brooklyn-3?osq=american&sort_by=date_desc
"303 E 85th St, New York, NY 10028",4.0,"{'Mon': '4:00 pm - 2:00 am', 'Tue': '4:00 pm - 2:00 am', 'Wed': '4:00 pm - 2:00 am', 'Thu': '4:00 pm - 2:00 am', 'Fri': '3:00 pm - 4:00 am', 'Sat': '11:00 am - 4:00 am', 'Sun': '11:00 am - 2:00 am'}","Cocktail Bars,American (New),Southern",{'Takeout': True},Powered by HDScores,Elite '2020,american,"New York, NY",468,(929) 279-1884,$$,"[('1 star rating', '7/5/2020'), ('5 star rating', '4/12/2020'), ('5 star rating', '3/26/2020'), ('5 star rating', '1/19/2020'), ('5 star rating', '1/1/2020'), ('5 star rating', '11/26/2019'), ('5 star rating', '11/5/2019'), ('1 star rating', '11/3/2019'), ('4 star rating', '10/28/2019'), ('5 star rating', '10/16/2019'), ('5 star rating', '7/16/2019'), ('5 star rating', '10/15/2019'), ('4 star rating', '8/25/2019'), ('4 star rating', '8/25/2019'), ('5 star rating', '8/15/2019'), ('4 star rating', '8/5/2019'), ('1 star rating', '8/3/2019'), ('4 star rating', '6/18/2019'), ('2 star rating', '6/1/2019'), ('5 star rating', '5/22/2019')]",Bondurants,https://www.yelp.com/biz/bondurants-new-york?osq=american&sort_by=date_desc
"188 Montrose Ave, Brooklyn, NY 11206",4.5,"{'Mon': '11:00 am - 10:30 pm', 'Tue': '11:00 am - 10:30 pm', 'Wed': '11:00 am - 10:30 pm', 'Thu': '11:00 am - 10:30 pm', 'Fri': '11:00 am - 10:30 pm', 'Sat': '11:00 am - 10:30 pm', 'Sun': '11:00 am - 10:30 pm'}","American (Traditional),Comfort Food","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"New York, NY",153,(917) 909-0307,$$,"[('5 star rating', '4/20/2020'), ('5 star rating', '4/3/2020'), ('5 star rating', '3/3/2020'), ('5 star rating', '3/3/2020'), ('5 star rating', '2/24/2020'), ('5 star rating', '2/7/2020'), ('3 star rating', '1/20/2020'), ('5 star rating', '1/16/2020'), ('5 star rating', '12/21/2019'), ('1 star rating', '12/20/2019'), ('5 star rating', '11/16/2019'), ('5 star rating', '11/4/2019'), ('4 star rating', '11/1/2019'), ('1 star rating', '10/7/2019'), ('5 star rating', '9/14/2019'), ('5 star rating', '9/13/2019'), ('5 star rating', '8/11/2019'), ('4 star rating', '8/7/2019'), ('5 star rating', '7/31/2019')]",The Brooklyn Tree,https://www.yelp.com/biz/the-brooklyn-tree-brooklyn-2?osq=american&sort_by=date_desc
"1125 1st Ave, New York, NY 10065",4.0,"{'Mon': '5:00 pm - 10:00 pm', 'Tue': '5:00 pm - 10:00 pm', 'Wed': '5:00 pm - 10:00 pm', 'Thu': '5:00 pm - 10:00 pm', 'Fri': '5:00 pm - 10:00 pm', 'Sat': '12:00 pm - 10:00 pm', 'Sun': '12:00 pm - 10:00 pm'}","Bars,American (New)","{'Delivery': True, 'Takeout': True}","Posted on March 30, 2020","""In accordance with the New York City Government, Treadwell Park is closed for in-house dining until further notice.  
Treadwell Park is OPEN for take-out/delivery between 5-9pm daily.""",american,"New York, NY",432,(212) 832-1551,$$,"[('5 star rating', '7/15/2020'), ('4 star rating', '7/12/2020'), ('2 star rating', '7/4/2020'), ('5 star rating', '6/25/2020'), ('4 star rating', '6/23/2020'), ('5 star rating', '6/17/2020'), ('5 star rating', '4/13/2020'), ('4 star rating', '3/6/2020'), ('5 star rating', '3/1/2020'), ('5 star rating', '2/10/2020'), ('5 star rating', '2/8/2020'), ('5 star rating', '1/26/2020'), ('1 star rating', '1/20/2020'), ('5 star rating', '1/5/2020'), ('4 star rating', '1/1/2020'), ('5 star rating', '12/23/2019'), ('3 star rating', '12/3/2019'), ('4 star rating', '12/2/2019'), ('4 star rating', '11/25/2019')]",Treadwell Park,https://www.yelp.com/biz/treadwell-park-new-york?osq=american&sort_by=date_desc
